"","TFs","target","mor"
"585","CTCF","MEG3",-1.52090678554456e-05
"586","CTCF","MMP10",-8.89380664216128e-05
"587","CTCF","MRPL17",0.788777977963434
"588","CTCF","MYC",-0.697785987315037
"589","CTCF","MYD88",0.518830651395202
"590","CTCF","NBN",0.961810876577868
"591","CTCF","NES",0.565504739067188
"592","CTCF","NF1",0.985034795777648
"593","CTCF","NFE2L2",0.589089304212277
"594","CTCF","NPC1",-4.33148590441736e-07
"595","CTCF","PAGE4",0.946523637840244
"596","CTCF","PBXIP1",-0.0205825644692233
"597","CTCF","PLXNB3",-0.0159663580240817
"598","CTCF","PMPCB",0.983810215174105
"599","CTCF","POMT2",0.294637892649015
"600","CTCF","POU1F1",-0.000277593335001309
"601","CTCF","PPARD",0.206364776678227
"602","CTCF","PPRC1",0.936698232502684
"603","CTCF","PRNT",0.917836404137806
"604","CTCF","PRSS35",-0.000231327250596258
"605","CTCF","PTPRG",0.837652640954363
"606","CTCF","RAD21",-0.00121131505481818
"607","CTCF","RARRES1",-1.82348377223866e-06
"608","CTCF","RBL2",0.768359963764616
"609","CTCF","RBM39",0.983163986702439
"610","CTCF","RBMS3",0.992212442466252
"611","CTCF","RPL39L",-2.26283619390783e-06
"612","CTCF","RPP30",-3.4646810107056e-05
"613","CTCF","S100Z",0.888424046131258
"614","CTCF","SIX5",0.962983754861743
"615","CTCF","SLC6A4",0.872980934857561
"616","CTCF","STAB2",0.205570627737483
"617","CTCF","TBC1D14",0.917053388058903
"618","CTCF","TERT",0.925681702766093
"619","CTCF","TMBIM6",0.903183800362873
"620","CTCF","TNFRSF18",0.183492190057584
"621","CTCF","TRAPPC6A",0.379288631049848
"622","CTCF","TRO",0.901830979353808
"623","CTCF","TSFM",0.975134586055053
"624","CTCF","TSPAN16",-0.000201581372663742
"625","CTCF","TYSND1",0.74668147994975
"626","CTCF","WT1",0.921656957322405
"627","CTCF","ZNF20",0.382692221030129
"628","CTCF","ZNF462",0.281776040917576
"629","CTCF","ZNF613",0.56787705269334
